"year","team","match_played","wins","draws","losts","goals_scored","goals_conceded","gd","group_point","champions","gd_calc","era","goals_pm","conceded_pm","margin_pm","success_rate"
1993,"Marseille",6,3,3,0,14,4,10,9,1,10,"Era A (1993-2001)",2.33333333333333,0.666666666666667,1.66666666666667,0.75
1994,"Milan",8,4,4,0,13,2,11,8,1,11,"Era A (1993-2001)",1.625,0.25,1.375,0.75
1995,"Ajax",11,7,4,0,18,4,14,10,1,14,"Era A (1993-2001)",1.63636363636364,0.363636363636364,1.27272727272727,0.818181818181818
1996,"Juventus",11,6,2,3,22,9,13,13,1,13,"Era A (1993-2001)",2,0.818181818181818,1.18181818181818,0.636363636363636
1997,"Borussia Dortmund",11,9,1,1,23,10,13,13,1,13,"Era A (1993-2001)",2.09090909090909,0.909090909090909,1.18181818181818,0.863636363636364
1998,"Real Madrid",11,7,3,1,22,5,17,13,1,17,"Era A (1993-2001)",2,0.454545454545455,1.54545454545455,0.772727272727273
1999,"Manchester United",11,5,6,0,29,16,13,10,1,13,"Era A (1993-2001)",2.63636363636364,1.45454545454545,1.18181818181818,0.727272727272727
2000,"Real Madrid",11,6,2,3,20,16,4,10,1,4,"Era A (1993-2001)",1.81818181818182,1.45454545454545,0.363636363636364,0.636363636363636
2001,"Bayern Munich",10,7,2,1,17,8,9,13,1,9,"Era A (1993-2001)",1.7,0.8,0.9,0.8
1993,"IFK Goteborg",6,3,0,3,7,8,-1,6,0,-1,"Era A (1993-2001)",1.16666666666667,1.33333333333333,-0.166666666666667,0.5
1994,"Werder Bremen",6,2,1,3,11,15,-4,5,0,-4,"Era A (1993-2001)",1.83333333333333,2.5,-0.666666666666667,0.416666666666667
1994,"Porto",7,3,1,3,10,9,1,7,0,1,"Era A (1993-2001)",1.42857142857143,1.28571428571429,0.142857142857143,0.5
1995,"Steaua Bucure?ti",6,1,3,2,7,6,1,5,0,1,"Era A (1993-2001)",1.16666666666667,1,0.166666666666667,0.416666666666667
1995,"Dynamo Kyiv",6,1,0,5,5,11,-6,2,0,-6,"Era A (1993-2001)",0.833333333333333,1.83333333333333,-1,0.166666666666667
1996,"Borussia Dortmund",8,2,3,3,8,11,-1,9,0,-3,"Era A (1993-2001)",1,1.375,-0.375,0.4375
1996,"Rosenborg",6,2,0,4,11,16,-5,6,0,-5,"Era A (1993-2001)",1.83333333333333,2.66666666666667,-0.833333333333333,0.333333333333333
1996,"Nantes",10,4,4,2,15,12,3,9,0,3,"Era A (1993-2001)",1.5,1.2,0.3,0.6
1996,"Grasshopper",6,0,2,4,3,13,-10,2,0,-10,"Era A (1993-2001)",0.5,2.16666666666667,-1.66666666666667,0.166666666666667
1996,"Spartak Moscow",8,6,1,1,17,8,9,18,0,9,"Era A (1993-2001)",2.125,1,1.125,0.8125
